People,Families,Locations,Events,TextChunk
Laura Le,Operations,"Tokyo, Japan",Joined Cross-Cultural Communication Workshop,"Laura Le is part of the Operations team, based in Tokyo, Japan, and recently joined cross-cultural communication workshop."
Rachel Nguyen,Sales,"Jakarta, Indonesia",Joined Cross-Cultural Communication Workshop,"Rachel Nguyen is part of the Sales team, based in Jakarta, Indonesia, and recently joined cross-cultural communication workshop."
Charlie Dang,Human Resources,"London, UK",Completed Advanced Cybersecurity Training,"Charlie Dang is part of the Human Resources team, based in London, UK, and recently completed advanced cybersecurity training."
Edward Tran,Management,"Ho Chi Minh City, Vietnam",Joined Global Marketing Summit,"Edward Tran is part of the Management team, based in Ho Chi Minh City, Vietnam, and recently joined global marketing summit."
Rachel Mai,Human Resources,"Berlin, Germany",Finished Data Analytics with Python Course,"Rachel Mai is part of the Human Resources team, based in Berlin, Germany, and recently finished data analytics with python course."
Laura Vu,Engineering,"London, UK",Spoke at the Annual Finance Forum,"Laura Vu is part of the Engineering team, based in London, UK, and recently spoke at the annual finance forum."
Nathan Nguyen,Legal,"Da Nang, Vietnam",Attended UX/UI Design Masterclass,"Nathan Nguyen is part of the Legal team, based in Da Nang, Vietnam, and recently attended ux/ui design masterclass."
Isaac Truong,Customer Success,"Bangalore, India",Volunteered at Community Tech Fair,"Isaac Truong is part of the Customer Success team, based in Bangalore, India, and recently volunteered at community tech fair."
Kevin Luong,Management,Singapore,Completed AWS Cloud Practitioner Certification,"Kevin Luong is part of the Management team, based in Singapore, and recently completed aws cloud practitioner certification."
Alice Ngo,Legal,"Seoul, South Korea",Presented at Machine Learning Meetup,"Alice Ngo is part of the Legal team, based in Seoul, South Korea, and recently presented at machine learning meetup."
Laura Ta,Engineering,"Tokyo, Japan",Joined Team Building Offsite in Da Nang,"Laura Ta is part of the Engineering team, based in Tokyo, Japan, and recently joined team building offsite in da nang."
Hannah Pham,Operations,"Mumbai, India",Joined International Business Roundtable,"Hannah Pham is part of the Operations team, based in Mumbai, India, and recently joined international business roundtable."
Kevin Vu,Sales,"Bangkok, Thailand",Volunteered at Community Tech Fair,"Kevin Vu is part of the Sales team, based in Bangkok, Thailand, and recently volunteered at community tech fair."
George Bui,Customer Success,"Manila, Philippines",Attended AI for Business Leaders Webinar,"George Bui is part of the Customer Success team, based in Manila, Philippines, and recently attended ai for business leaders webinar."
Julia Tran,Human Resources,"Beijing, China",Joined Cross-Cultural Communication Workshop,"Julia Tran is part of the Human Resources team, based in Beijing, China, and recently joined cross-cultural communication workshop."
Laura Mai,Management,Singapore,Completed Advanced Cybersecurity Training,"Laura Mai is part of the Management team, based in Singapore, and recently completed advanced cybersecurity training."
Edward Ngo,Customer Success,"Seoul, South Korea",Volunteered at Community Tech Fair,"Edward Ngo is part of the Customer Success team, based in Seoul, South Korea, and recently volunteered at community tech fair."
